Date,From,To,Flight_Number,Airline,Distance,Duration,Seat,Seat_Type,Class,Reason,Plane,Registration,Trip,Note,From_OID,To_OID,Airline_OID,Plane_OID
- -,YYZ,LHR,Air Canada (AC),Air Canada,3544,07:35,,,,,763 77L 77W 333,,,"Direct",193,507,330
- -,YYZ,LHR,Finnair (AY),Finnair,3544,07:35,,,,,788 744,,,"Codeshare",193,507,2350
- -,YYZ,LHR,British Airways (BA),British Airways,3544,07:35,,,,,788 744,,,"Direct",193,507,1355
- -,YYZ,LHR,Iberia Airlines (IB),Iberia Airlines,3544,07:35,,,,,788 744,,,"Codeshare",193,507,2822
- -,YYZ,LHR,Lufthansa (LH),Lufthansa,3544,07:35,,,,,763 77L 77W 333,,,"Codeshare",193,507,3320
- -,YYZ,LIM,Air Canada (AC),Air Canada,3849,08:11,,,,,763,,,"Direct",193,2789,330
- -,YYZ,LIR,Air Canada (AC),Air Canada,2311,05:07,,,,,319,,,"Direct",193,1881,330
- -,YYZ,LIR,WestJet (WS),WestJet,2311,05:07,,,,,73W,,,"Direct",193,1881,5416
- -,YYZ,LIS,SATA International (S4),SATA International,3564,07:37,,,,,313,,,"Direct",193,1638,4304
- -,YYZ,LIS,TAP Portugal (TP),TAP Portugal,3564,07:37,,,,,313,,,"Codeshare",193,1638,4869
- -,YYZ,LIS,Air Transat (TS),Air Transat,3564,07:37,,,,,310,,,"Direct",193,1638,1317
- -,YYZ,MAN,Air Transat (TS),Air Transat,3422,07:20,,,,,310 330,,,"Direct",193,478,1317
- -,YYZ,MBJ,Air Canada (AC),Air Canada,1741,03:58,,,,,319,,,"Direct",193,1780,330
- -,YYZ,MBJ,Air Transat (TS),Air Transat,1741,03:58,,,,,738 310,,,"Codeshare",193,1780,1317
- -,YYZ,MBJ,WestJet (WS),WestJet,1741,03:58,,,,,73H 73W,,,"Direct",193,1780,5416
- -,YYZ,MCI,Air Canada (AC),Air Canada,835,02:10,,,,,CRJ,,,"Codeshare",193,3458,330
- -,YYZ,MCO,American Airlines (AA),American Airlines,1057,02:36,,,,,737,,,"Direct",193,3878,24
- -,YYZ,MCO,Air Canada (AC),Air Canada,1057,02:36,,,,,319,,,"Direct",193,3878,330
- -,YYZ,MCO,Delta Air Lines (DL),Delta Air Lines,1057,02:36,,,,,73H 73W,,,"Codeshare",193,3878,2009
- -,YYZ,MCO,Air Transat (TS),Air Transat,1057,02:36,,,,,738 310,,,"Codeshare",193,3878,1317
- -,YYZ,MCO,WestJet (WS),WestJet,1057,02:36,,,,,73H 73W,,,"Direct",193,3878,5416
- -,YYZ,MDT,Air Canada (AC),Air Canada,282,01:03,,,,,BEH,,,"Codeshare",193,3542,330
- -,YYZ,MEX,Air Canada (AC),Air Canada,2016,04:31,,,,,319,,,"Direct",193,1824,330
- -,YYZ,MEX,Avianca - Aerovias Nacionales de Colombia (AV),Avianca - Aerovias Nacionales de Colombia,2016,04:31,,,,,319,,,"Direct",193,1824,515
- -,YYZ,MIA,American Airlines (AA),American Airlines,1235,02:58,,,,,738,,,"Direct",193,3576,24
- -,YYZ,MIA,Air Canada (AC),Air Canada,1235,02:58,,,,,E90,,,"Direct",193,3576,330
- -,YYZ,MIA,US Airways (US),US Airways,1235,02:58,,,,,738,,,"Direct",193,3576,5265
- -,YYZ,MIA,WestJet (WS),WestJet,1235,02:58,,,,,738,,,"Codeshare",193,3576,5416
- -,YYZ,MKE,Air Canada (AC),Air Canada,418,01:20,,,,,CRJ,,,"Codeshare",193,3717,330
- -,YYZ,MSP,Air Canada (AC),Air Canada,676,01:51,,,,,CRA CRJ,,,"Codeshare",193,3858,330
- -,YYZ,MSP,Delta Air Lines (DL),Delta Air Lines,676,01:51,,,,,CRJ,,,"Codeshare",193,3858,2009
- -,YYZ,MSP,United Airlines (UA),United Airlines,676,01:51,,,,,CRA CRJ,,,"Codeshare",193,3858,5209
- -,YYZ,MSP,WestJet (WS),WestJet,676,01:51,,,,,CRJ,,,"Codeshare",193,3858,5416
- -,YYZ,MSY,Air Canada (AC),Air Canada,1110,02:43,,,,,CRA,,,"Codeshare",193,3861,330
- -,YYZ,MSY,United Airlines (UA),United Airlines,1110,02:43,,,,,CRA,,,"Codeshare",193,3861,5209
- -,YYZ,MUC,Air Canada (AC),Air Canada,4124,08:44,,,,,77W,,,"Direct",193,346,330
- -,YYZ,MUC,Lufthansa (LH),Lufthansa,4124,08:44,,,,,77W,,,"Codeshare",193,346,3320
- -,YYZ,MYR,WestJet (WS),WestJet,691,01:52,,,,,73W,,,"Direct",193,3515,5416
- -,YYZ,NAS,Air Canada (AC),Air Canada,1292,03:05,,,,,319,,,"Direct",193,1953,330
- -,YYZ,NAS,WestJet (WS),WestJet,1292,03:05,,,,,73W,,,"Direct",193,1953,5416
- -,YYZ,NRT,Air Canada (AC),Air Canada,6396,13:17,,,,,77W,,,"Direct",193,2279,330
- -,YYZ,NRT,All Nippon Airways (NH),All Nippon Airways,6396,13:17,,,,,77W,,,"Codeshare",193,2279,324
- -,YYZ,OPO,SATA International (S4),SATA International,3503,07:30,,,,,313,,,"Direct",193,1636,4304
- -,YYZ,OPO,TAP Portugal (TP),TAP Portugal,3503,07:30,,,,,313,,,"Codeshare",193,1636,4869
- -,YYZ,OPO,Air Transat (TS),Air Transat,3503,07:30,,,,,310,,,"Direct",193,1636,1317
- -,YYZ,ORD,American Airlines (AA),American Airlines,434,01:22,,,,,E75 CR7 ER4,,,"Codeshare",193,3830,24
- -,YYZ,ORD,Air Canada (AC),Air Canada,434,01:22,,,,,E75,,,"Direct",193,3830,330
- -,YYZ,ORD,Etihad Airways (EY),Etihad Airways,434,01:22,,,,,EMJ,,,"Codeshare",193,3830,2222
- -,YYZ,ORD,United Airlines (UA),United Airlines,434,01:22,,,,,320 73G 319,,,"Direct",193,3830,5209
- -,YYZ,ORD,US Airways (US),US Airways,434,01:22,,,,,ER4 CR7,,,"Direct",193,3830,5265
- -,YYZ,ORD,WestJet (WS),WestJet,434,01:22,,,,,E75,,,"Direct",193,3830,5416
- -,YYZ,PDL,SATA International (S4),SATA International,2802,06:06,,,,,313,,,"Direct",193,1633,4304
- -,YYZ,PDL,TAP Portugal (TP),TAP Portugal,2802,06:06,,,,,313,,,"Codeshare",193,1633,4869
- -,YYZ,PEK,Air Canada (AC),Air Canada,6558,13:36,,,,,77W,,,"Direct",193,3364,330
- -,YYZ,PEK,Air China (CA),Air China,6558,13:36,,,,,77W,,,"Codeshare",193,3364,751
- -,YYZ,PEK,Hainan Airlines (HU),Hainan Airlines,6558,13:36,,,,,787,,,"Direct",193,3364,2660
- -,YYZ,PHL,American Airlines (AA),American Airlines,346,01:11,,,,,E75 CRJ,,,"Codeshare",193,3752,24
- -,YYZ,PHL,Air Canada (AC),Air Canada,346,01:11,,,,,E75,,,"Direct",193,3752,330
- -,YYZ,PHL,United Airlines (UA),United Airlines,346,01:11,,,,,E75,,,"Codeshare",193,3752,5209
- -,YYZ,PHL,US Airways (US),US Airways,346,01:11,,,,,E75 CRJ,,,"Codeshare",193,3752,5265
- -,YYZ,PHX,Air Canada (AC),Air Canada,1871,04:14,,,,,319,,,"Direct",193,3462,330
- -,YYZ,PIT,Air Canada (AC),Air Canada,222,00:56,,,,,DH1,,,"Codeshare",193,3570,330
- -,YYZ,PIT,United Airlines (UA),United Airlines,222,00:56,,,,,DH1,,,"Codeshare",193,3570,5209
- -,YYZ,PLS,Air Canada (AC),Air Canada,1570,03:38,,,,,E90,,,"Direct",193,1754,330
- -,YYZ,PLS,WestJet (WS),WestJet,1570,03:38,,,,,73H,,,"Direct",193,1754,5416
- -,YYZ,POP,Air Canada (AC),Air Canada,1732,03:57,,,,,319,,,"Direct",193,1761,330
- -,YYZ,POP,WestJet (WS),WestJet,1732,03:57,,,,,73H,,,"Direct",193,1761,5416
- -,YYZ,POS,Caribbean Airlines (BW),Caribbean Airlines,2533,05:33,,,,,738,,,"Direct",193,2902,1663
- -,YYZ,POS,WestJet (WS),WestJet,2533,05:33,,,,,73W,,,"Direct",193,2902,5416
- -,YYZ,PTY,Copa Airlines (CM),Copa Airlines,2389,05:16,,,,,738,,,"Direct",193,1871,1889
- -,YYZ,PUJ,Air Canada (AC),Air Canada,1853,04:12,,,,,319,,,"Direct",193,1760,330
- -,YYZ,PUJ,Air Transat (TS),Air Transat,1853,04:12,,,,,330 738,,,"Direct",193,1760,1317
- -,YYZ,PUJ,WestJet (WS),WestJet,1853,04:12,,,,,73H 73W,,,"Direct",193,1760,5416
- -,YYZ,PVG,Air Canada (AC),Air Canada,7088,14:40,,,,,77L,,,"Direct",193,3406,330
- -,YYZ,PVG,Air China (CA),Air China,7088,14:40,,,,,77L,,,"Codeshare",193,3406,751
- -,YYZ,RDU,Air Canada (AC),Air Canada,540,01:34,,,,,CRJ,,,"Codeshare",193,3626,330
- -,YYZ,ROC,Air Canada (AC),Air Canada,105,00:42,,,,,BEH,,,"Codeshare",193,3622,330
- -,YYZ,RSW,Air Canada (AC),Air Canada,1189,02:52,,,,,320,,,"Direct",193,3793,330
- -,YYZ,RSW,WestJet (WS),WestJet,1189,02:52,,,,,73W 736,,,"Direct",193,3793,5416
- -,YYZ,SAL,Avianca - Aerovias Nacionales de Colombia (AV),Avianca - Aerovias Nacionales de Colombia,2161,04:49,,,,,320,,,"Direct",193,1892,515
